Image_Key,Filename,Rating,Chainage,Latitude,Longitude
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.515 1.JPG,N04D226C    0.515 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.520 1.JPG,N04D226C    0.520 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.525 1.JPG,N04D226C    0.525 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.530 1.JPG,N04D226C    0.530 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.535 1.JPG,N04D226C    0.535 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.540 1.JPG,N04D226C    0.540 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.545 1.JPG,N04D226C    0.545 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.550 1.JPG,N04D226C    0.550 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.555 1.JPG,N04D226C    0.555 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.560 1.JPG,N04D226C    0.560 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.565 1.JPG,N04D226C    0.565 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.570 1.JPG,N04D226C    0.570 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.575 1.JPG,N04D226C    0.575 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.580 1.JPG,N04D226C    0.580 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.585 1.JPG,N04D226C    0.585 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.590 1.JPG,N04D226C    0.590 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.595 1.JPG,N04D226C    0.595 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.600 1.JPG,N04D226C    0.600 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.605 1.JPG,N04D226C    0.605 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.610 1.JPG,N04D226C    0.610 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.615 1.JPG,N04D226C    0.615 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.620 1.JPG,N04D226C    0.620 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.625 1.JPG,N04D226C    0.625 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.630 1.JPG,N04D226C    0.630 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.635 1.JPG,N04D226C    0.635 1.JPG,4,,,
